,vol,por,sar,sph,lsph,csph,Acrat,Alrat,Cdout,massout,Rhos,Rhoc,Rhol,id,Cd,Re,mass
0,1.16e-08,0.19594845175743103,0.22944924235343933,0.9290223121643066,0.9730701446533203,1.1394368559122086,0.9288900196552277,1.1132021248340607,0.8376896977424622,6.616766278775686e-06,684.4847499586782,640.1787071183767,659.8943155570477,grac_18.png,0.6889,1026.841893,5.45e-06
1,3.45e-08,0.13940384984016418,0.2328519970178604,0.9232910871505737,0.9930317997932434,1.2540844231843948,0.8484026491641998,1.1219707131385803,0.7361323833465576,1.964114987205727e-05,636.4044574562754,572.3188576373384,611.3640570535431,grac_16.png,0.7905,1794.34505,2.12e-05
2,3.33e-08,0.1733163595199585,0.2484542727470398,0.9366300702095032,1.0312072038650513,1.3495489954948425,0.6994345933198929,1.08356174826622,0.706657886505127,1.2509419554800607e-05,416.24437491092027,415.2763357178198,406.2391756897943,grac_19.png,0.7589,1430.987865,1.34e-05
3,1.16e-08,0.24785597622394562,0.24445167183876038,0.9193533658981323,1.020017385482788,1.3151984512805939,0.7895262837409973,1.0942683219909668,0.7573533058166504,4.555967512479858e-06,420.10881393489814,361.9671615922816,400.8092400523708,grac_4.png,0.6603,820.0560016,3.97e-06
4,1.29e-08,0.2012389451265335,0.24080315232276917,0.9202187657356262,1.0084972381591797,1.288599669933319,0.8166600465774536,1.1000424027442932,0.7569570541381836,5.3913103779167855e-06,542.4295569732773,469.19972418828837,518.4196531469404,grac_11.png,0.3966,966.7964659,2.83e-06
5,5.45e-08,0.24064379930496216,0.2449672520160675,0.9100713133811951,1.0258088111877441,1.4328767955303192,0.724764883518219,1.1122181117534637,0.6420034766197205,2.6063635524508027e-05,511.1290233060302,432.2974349827875,491.87967448823406,grac_5.png,0.4634,2214.948119,1.88e-05
6,3.52e-08,0.3570541739463806,0.2391107827425003,0.9163791537284851,0.9921369552612305,1.2509030252695084,0.8479604423046112,1.0952568054199219,0.7459339499473572,1.3446590986702077e-05,470.22023126764617,403.67005172370057,449.0492479490062,grac_3.png,0.7297,1490.841546,1.32e-05
7,2.3e-08,0.20010852813720703,0.24137696623802185,0.900444746017456,1.013575553894043,1.4238623827695847,0.7562938928604126,1.1216618120670319,0.6759713888168335,8.554460207867069e-06,569.7199488650609,459.17199290803893,543.2376577425962,grac_15.png,0.8275,1232.169561,1.05e-05
8,4.66e-08,0.25314173102378845,0.2390490174293518,0.9131407141685486,1.0034750699996948,1.3511980026960373,0.7893856465816498,1.1124570965766907,0.6870660781860352,1.7828621618477435e-05,450.6006733023925,381.7382125447948,431.75247763800985,grac_17.png,0.5517,1791.554517,1.43e-05
9,2.1e-08,0.28451114892959595,0.23233777284622192,0.9287211894989014,0.9777664542198181,1.251649558544159,0.8137494027614594,1.1123665273189545,0.7756342887878418,6.918449014353231e-06,372.81455083505307,362.3189224454889,363.3737150307477,grac_2.png,1.1024,997.8259079,9.83e-06
10,2.11e-08,0.24265117943286896,0.23418688774108887,0.9273986220359802,0.9635303020477295,1.2184752970933914,0.8208923041820526,1.0904919505119324,0.7686901688575745,1.0889201658777811e-05,485.6658599219038,478.24344474638565,473.81451675962654,grac_7.png,0.5793,1436.282098,8.2e-06
11,1.64e-08,0.23051272332668304,0.23250934481620789,0.9198625087738037,1.010133981704712,1.4038237482309341,0.7418511807918549,1.1538064777851105,0.6945847868919373,8.189922710403447e-06,441.94841816674955,409.03577142475984,430.35447752283756,grac_14.png,0.591,1118.499814,6.97e-06
12,5.36e-08,0.2292759120464325,0.23351114988327026,0.9241642951965332,1.0066243410110474,1.3842274844646454,0.7342718839645386,1.143627405166626,0.6743972897529602,2.099339104038787e-05,397.5152249461008,381.7944177042127,388.76901712971943,grac_8.png,0.6817,1833.181235,2.12e-05
13,3.72e-08,0.19967219233512878,0.2610833942890167,0.9138486385345459,1.0375694036483765,1.24522303044796,0.8122031986713409,1.0270854234695435,0.7491517663002014,1.4705008682363179e-05,497.9526486953864,400.74935159199066,460.87906673206896,grac_10.png,0.7804,1463.942259,1.53e-05
14,2.43e-08,0.23713955283164978,0.25700363516807556,0.923687756061554,1.0213035345077515,1.1742706596851349,0.8567387759685516,1.0234454870224,0.7983396649360657,1.1433832441310923e-05,636.4093882732612,537.1561121815058,593.143664059015,grac_21.png,0.7075,1304.066534,1.01e-05
15,2.86e-08,0.21517473459243774,0.26048165559768677,0.9115475416183472,1.0492364168167114,1.2876571416854858,0.7976433634757996,1.0408358573913574,0.7257703542709351,1.3714584889833146e-05,654.8195457994067,514.7797119980044,605.3060056487861,grac_22.png,0.5387,1499.824162,1.01e-05
16,1.66e-08,0.254466712474823,0.25442585349082947,0.9202020764350891,1.0064873695373535,1.1445738226175308,0.899596631526947,1.0209536254405975,0.8362252712249756,6.255609356294386e-06,513.40839700292,422.49199949778273,476.44105714028916,grac_1.png,0.9601,964.9864181,7.18e-06
17,3.49e-08,0.2690843641757965,0.23607781529426575,0.9051389694213867,0.989181637763977,1.312968760728836,0.7594709694385529,1.1328196227550507,0.719240128993988,1.3048765987077442e-05,318.1768751225547,299.86128488002004,310.39659205798,grac_12.png,0.6596,1339.049493,1.19e-05
18,1.2e-08,0.24296025931835175,0.2178654670715332,0.9038885831832886,0.9771686792373657,1.2625474631786346,0.8968455791473389,1.2085724472999573,0.7771156430244446,4.723942718780584e-06,419.07777592402806,367.40606448511727,404.7085376580015,grac_9.png,0.8596,846.0465382,5.22e-06
19,2.39e-08,0.26220905780792236,0.2330196499824524,0.8991265892982483,1.0139176845550537,1.5924114882946014,0.6907282769680023,1.1711680591106415,0.6057202816009521,1.1371350811850706e-05,374.4174279397081,307.51386751070436,361.14567281478827,grac_13.png,0.5203,1453.911579,9.76e-06
20,2.42e-08,0.2523019015789032,0.23504593968391418,0.9030677080154419,0.9707293510437012,1.3051553517580032,0.7950524389743805,1.119370311498642,0.7226322889328003,1.0669426818524764e-05,494.1299860739839,440.0637427175867,480.66924738530344,grac_6.png,0.715,1336.598719,1.06e-05
